Nombre,prueba,tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Miércoles 25 de Enero,,,,,,,,
,   52  Dispositivos,,,,,,,,
,   474.1 GB,,,,,,,,
,   1015 ficheros,,,,,,,,
,   $3018,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Squid Game S01E07.mkv,644MB,06:36:40 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E07.mkv,,,,,
,Squid Game S01E05.mkv,640MB,06:27:32 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E05.mkv,,,,,
,Squid Game S01E08.mkv,450MB,06:40:19 ,E:\Squid Game (El Juego del Calamar) (Round 6) (Temporada 1) [09 Cap.] [720p] [Dual Audio] FDT\Squid Game S01E08.mkv,,,,,
ROSA 32GB (O:),,Memoria 32 GB,17:51,9.6 GB,17 ficheros,17 ficheros,$0,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,3x80 - Exatlón Estados Unidos (2019).mpg,1.4GB,06:00:03 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x80 - Exatlón Estados Unidos (2019).mpg,,,,,
,3x81 - Exatlón Estados Unidos (2019).mpg,1.4GB,06:03:08 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x81 - Exatlón Estados Unidos (2019).mpg,,,,,
,3x78 - Exatlón Estados Unidos (2019).mpg,1.4GB,05:55:26 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x78 - Exatlón Estados Unidos (2019).mpg,,,,,
,3x82 - Exatlón Estados Unidos (2019).mpg,720MB,06:07:35 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x82 - Exatlón Estados Unidos (2019).mpg,,,,,
,3x79 - Exatlón Estados Unidos (2019).mpg,711MB,05:58:31 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x79 - Exatlón Estados Unidos (2019).mpg,,,,,
,3x81.1 - Exatlón Estados Unidos (2019).mpg,645MB,06:06:18 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x81.1 - Exatlón Estados Unidos (2019).mpg,,,,,
,How To Train Your Dragon 1 [2010]_mpeg1video.mpg,633MB,06:12:24 ,O:\How To Train Your Dragon 1 [2010]_mpeg1video.mpg,,,,,
,Caso Cerrado 1 {24-01-2023}.mpg,420MB,06:09:48 ,O:\Caso Cerrado 1 {24-01-2023}.mpg,,,,,
,La Rosa De Guadalupe 1 {23-01-2023}.mpg,386MB,06:14:33 ,O:\La Rosa De Guadalupe 1 {23-01-2023}.mpg,,,,,
,La Rosa De Guadalupe {24-01-2023}.mpg,384MB,06:15:25 ,O:\! Exatlón Mexico - 6x79 {17-01-2023}\La Rosa De Guadalupe {24-01-2023}.mpg,,,,,
,La Rosa De Guadalupe {22-01-2023}.mpg,380MB,06:13:44 ,O:\La Rosa De Guadalupe {22-01-2023}.mpg,,,,,
,3x83 - Exatlón Estados Unidos (2019).mpg,323MB,06:09:08 ,O:\Exatlón Estados Unidos Temp.3 (2019) COMPLETA\3x83 - Exatlón Estados Unidos (2019).mpg,,,,,
,Caso Cerrado La Tía {22-01-2023}.mpg,269MB,06:11:51 ,O:\Caso Cerrado La Tía {22-01-2023}.mpg,,,,,
,Caso Cerrado Hermano Irresponsable Embaraza A Hermana {23-01-2023}.mpg,231MB,06:11:23 ,O:\Caso Cerrado Hermano Irresponsable Embaraza A Hermana {23-01-2023}.mpg,,,,,
,Caso Cerrado 2 {24-01-2023}.mpg,211MB,06:10:40 ,O:\Caso Cerrado 2 {24-01-2023}.mpg,,,,,
,Como Dice El Dicho En La Mucha Confianza {22-01-2023}.mpg,87MB,06:16:26 ,O:\Como Dice El Dicho En La Mucha Confianza {22-01-2023}.mpg,,,,,
,Como Dice El Dicho En La Mucha Confianza {23-01-2023}.mpg,60MB,06:16:19 ,O:\Como Dice El Dicho En La Mucha Confianza {23-01-2023}.mpg,,,,,
KINGSTON (N:),,Memoria 16 GB,17:49,2.6 GB,10 ficheros,3 ficheros,$20,,""""""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,Paw Patrol 8 {23-01-2023}.mpg,275MB,05:55:37 ,N:\Paw Patrol 8 {23-01-2023}.mpg,,,,,
,Paw Patrol 6 {23-01-2023}.mpg,273MB,05:54:49 ,N:\Paw Patrol 6 {23-01-2023}.mpg,,,,,
,Paw Patrol 4 {23-01-2023}.mpg,272MB,05:54:13 ,N:\Paw Patrol 4 {23-01-2023}.mpg,,,,,
,Paw Patrol 9 {23-01-2023}.mpg,272MB,05:55:56 ,N:\Paw Patrol 9 {23-01-2023}.mpg,,,,,
,Paw Patrol 1 {23-01-2023}.mpg,272MB,05:52:58 ,N:\Paw Patrol 1 {23-01-2023}.mpg,,,,,
,Paw Patrol 1 {24-01-2023}.mpg,270MB,05:53:19 ,N:\Paw Patrol 1 {24-01-2023}.mpg,,,,,
